qn_or_ans,y_top,y_bottom,confident,recognition_result
ans,28,60,0.826,out
ans,99,167,0.693,out
ans,205,277,0.862,5
ans,324,382,1.0,2
ans,427,485,0.991,2
ans,556,618,0.122,out
ans,784,836,1.0,2
qn,220,268,0.968,2l
qn,332,380,0.286,out
qn,444,492,0.605,out
qn,556,604,0.999,2d
qn,670,718,1.0,2
qn,790,828,1.0,3
qn,904,938,1.0,4
qn,1018,1056,1.0,5
qn,1202,1240,0.26,out
qn,1374,1422,0.497,out
qn,1478,1526,0.801,out
qn,1582,1632,0.932,8l
qn,1688,1736,0.361,out
qn,1800,1838,0.149,out
qn,1902,1950,0.989,10
qn,2011,2053,1.0,1
qn,2113,2157,1.0,1
qn,2217,2261,0.689,out
qn,2321,2363,1.0,1
